Brand,Title,Price,Rating,maximum_display_resolution,Memory,Screen,Model
Apple,"Apple iPad with WiFi, 32GB, Silver (2017 Model) (Renewed)",$103.00,4.4 out of 5 stars,2048x1536,32 GB,9.7 Inches,iPad 9.7
Apple,"Apple iPad 9.7' with WiFi, 32GB, Space Gray - MP2F2LL/A (Renewed)",$119.00,4.4 out of 5 stars,2048x1536 Pixels,32 GB,9.7 Inches,iPad
Apple,"Apple iPad with WiFi, 128GB, Gold (2018 Model) (Renewed)",$172.00,4.5 out of 5 stars,2048 x 1536,128 GB,9.7 Inches,iPad (2018)
Apple,Apple IPad Air 2 WI-FI 64GB Space Gray (Renewed),$139.00,4.4 out of 5 stars,2048 x 1536,64 GB,9.7 Inches,iPad Air 2
Apple,"Apple iPad (10.2-inch, Wi-Fi, 128GB) - Space Gray (Previous Model)﻿",$339.98,4.8 out of 5 stars,N/A,128 GB,10 Inches,Apple iPad
Apple,"Apple iPad Pro 11-Inch (M4): Ultra Retina XDR display, 1TB, Landscape 12MP Front Camera/12MP Back Camera, LiDAR Scanner, Wi-Fi 6E, Face ID, All-Day Battery Life — Space Black",N/A,4.6 out of 5 stars,2420-by-1668-pixel resolution at 264 ppi,1 TB,11 Inches,iPad Pro
Apple,"2017 Apple iPad Pro (10.5-inch, Wi-Fi, 64GB) - Space Gray (Renewed)",$206.00,4.5 out of 5 stars,2224x1668 Pixels,64 GB,10.5 Inches,iPad Pro
Apple,"Apple 2021 12.9-inch iPad Pro (Wi‑Fi, 128GB) - Silver",$999.00,4.8 out of 5 stars,2732-by-2048-pixel resolution at 264 pixels per inch (ppi),128 GB,12.9 Inches,iPad Pro
Apple,"Apple Ipad Air 2 64GB Factory Unlocked (Space Gray, Wi-Fi + Cellular 4G) Newest Version (Renewed)",$129.00,4.1 out of 5 stars,N/A,64 GB,9.7 Inches,N/A
Apple,"Apple 2019 iPad mini (Wi-Fi, 64GB) - Space Gray",$282.38,4.8 out of 5 stars,2048 x 1536 Pixels,256 GB,7.9 Inches,iPad mini
Apple,Apple iPad Air 2 16GB WiFi 2GB iOS 10 9.7in Tablet - Space Gray (Renewed),$109.00,4.2 out of 5 stars,2048 x 1536,16 GB,9.7 Inches,N/A
Apple,"Apple iPad (5thGEneration) Wi-Fi, 128GB - Space Gray (Renewed)",$135.25,4.5 out of 5 stars,2048 x 1536,128 GB,9.7 Inches,iPad
Apple,"2019 Apple iPad 7th Gen (10.2 inch, Wi-Fi + Cellular, 128GB) Space Gray (Renewed)",$219.00,4.4 out of 5 stars,2160x1620 Pixels,128 GB,10 Inches,Apple iPad
Apple,"Apple MGKL2LL/A iPad Air 2 64GB, Wi-Fi, (Space Gray) (Renewed)",$139.00,4.4 out of 5 stars,2048x1536,64 GB,9.7 Inches,iPad Air 2
Apple,Apple iPad 5th Gen 9.7 GOLD,$134.99,4.6 out of 5 stars,N/A,128 GB,9.7 Inches,iPad
Apple,"Apple iPad 9.7in 6th Generation WiFi + Cellular (32GB, Space Gray) (Renewed)",$121.09,4.5 out of 5 stars,2048 x 1536,32 GB,9.7 Inches,iPad
Apple,"Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (Previous Model)",$250.37,4.8 out of 5 stars,N/A,32 GB,10 Inches,Apple iPad
Apple,Apple Renewed iPad Air 2 - 128GB - Gold (Renewed),$169.00,4.3 out of 5 stars,N/A,128 GB,9.7 Inches,iPad Air 2
Apple,Apple iPad Air 2 32GB Cellular MNVU2LL/A Space Gray A1567 (Renewed),$119.00,4.2 out of 5 stars,2048 x 1536,32 GB,9.7 Inches,iPad Air 2
Apple,"2022 Apple iPad Pro (12.9-inch, Wi-Fi, 256GB) - Space Gray (Renewed)",$929.00,4.4 out of 5 stars,2732 x 2048 Pixels,256 GB,12.9 Inches,iPad Pro
Apple,Apple iPad Pro 12.9 512 GB Space Gray (Wi-Fi + Cellular) MPLN2LL/A (Renewed),N/A,4.3 out of 5 stars,N/A,512 GB,12.9 Inches,N/A
Zyerch,"Stylus Pen for iPad 10th&9th Generation, Fast Charging Apple iPad Pencil with Palm Rejection, Tilt Sensitivity, Work for iPad Air 3/4/5, iPad Mini 5/6, iPad 6/7/8/9/10, iPad Pro 11"", iPad Pro 12.9""",$18.89,4.6 out of 5 stars,N/A,N/A,N/A,N/A
Apple,"Apple iPad Air 2 MH2N2LL/A (64GB, Wi-Fi + Cellular, Silver) (Renewed)",$129.99,3.8 out of 5 stars,N/A,64 GB,9.7 Inches,iPad Air 2
Apple,"Apple iPad Mini, 5th Generation (Wi-Fi, 64GB) - Gold (Renewed)",$225.57,4.5 out of 5 stars,2048 x 1536,64 GB,7.9 Inches,iPad Mini
Apple,"Apple 2020 iPad (10.2-inch, Wi-Fi + Cellular, 32GB) - Gold (8th Generation)",$240.85,4.8 out of 5 stars,2160 x 1620 Pixels,32 GB,10.2 Inches,iPad
Apple,"Apple iPad Pro 11-inch (4th generation): with M2 chip, Liquid Retina display, 256GB, Wi-Fi 6E + 5G cellular, 12MP front/12MP and 10MP back cameras, Face ID, all-day battery life – Space Gray","$1,087.00",4.7 out of 5 stars,2388 x 1668 Pixels,256 GB,11 Inches,iPad Pro
Apple,"Apple 2021 11-inch iPad Pro (Wi-Fi, 512GB) - Space Gray",$923.21,4.8 out of 5 stars,2388-by-1668-pixel resolution at 264 pixels per inch (ppi),512 GB,11 Inches,iPad Pro
Apple,"Apple iPad Mini 4, 128GB, Gold - WiFi (Renewed)",$149.00,4.4 out of 5 stars,2048 x 1536,128 GB,7.9 Inches,iPad Mini 4
N/A,"Apple iPad Air 11-inch (M2): Liquid Retina Display, 128GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E + 5G Cellular with eSIM, Touch ID, All-Day Battery — Blue with AppleCare+ (2 Years)",$819.42,4.7 out of 5 stars,N/A,N/A,N/A,N/A
Apple,"2017 Apple iPad Pro (10.5-inch, Wi-Fi + Cellular, 256GB) Space Gray (Renewed)",$226.00,4.3 out of 5 stars,N/A,256 GB,10.5 Inches,iPad Pro
Apple,"Apple iPad Pro 12.9-inch (6th generation): with M2 chip, Liquid Retina XDR display, 128GB, Wi-Fi 6E + 5G cellular, 12MP front/12MP and 10MP back cameras, Face ID, all-day battery life – Space Gray","$1,278.96",4.7 out of 5 stars,2732 x 2048 Pixels,128 GB,12.9 Inches,iPad Pro
N/A,"Amazon Fire HD 8 tablet (64 GB, Black, Ad-Supported) + Amazon Standing Case (Black)",$164.98,N/A,N/A,N/A,N/A,N/A
Apple,"Apple iPad 9.7in 6th Generation WiFi + Cellular (32GB, Silver) (Renewed)",$128.99,4.5 out of 5 stars,2048x1536 Pixels,32 GB,9.7 Inches,iPad
Apple,Apple iPad 5th Gen 2017 9.7in 32GB Gold (WiFi) (Renewed),$129.00,4.0 out of 5 stars,2048 x 1536,32 GB,9.7 Inches,iPad (2017)
SAMSUNG,"SAMSUNG Galaxy Tab A8 10.5” 64GB Android Tablet, LCD Screen, Kids Content, Smart Switch, Expandable Memory, Long Lasting Battery, Fast Charging, US Version, 2022, Dark Gray",$188.95,4.5 out of 5 stars,1920 x 1200 Pixels,64 GB,10.5 Inches,Galaxy Tab A8
Apple,"Apple iPad Air 2 16GB Wi-Fi 9.7in, Silver (Renewed) (Renewed)",$109.00,4.1 out of 5 stars,2048 x 1536,16 GB,9.7 Inches,iPad Air 2
Apple,"Apple iPad Pro Tablet (32GB, Wi-Fi, 9.7') Rose Gold (Renewed)",$149.00,4.4 out of 5 stars,2048 x 1536,32 GB,9.7 Inches,iPad Pro
N/A,"Amazon Fire HD 8 Plus tablet, 8” HD Display, 32 GB, 3GB RAM, 30% faster processor, and Made for Amazon Wireless Charging Dock, (2022 release), Gray",$149.98,4.5 out of 5 stars,N/A,N/A,N/A,N/A
Apple,"Apple 2020 iPad Pro (11-inch, Wi-Fi + Cellular, 128GB) - Space Gray (2nd Generation)",$664.71,4.8 out of 5 stars,2388-by-1668-pixel resolution at 264 pixels per inch (ppi),128 GB,11 Inches,iPad Pro
Apple,"Apple iPad Air (10.9-inch, Wi-Fi + Cellular, 64GB) - Silver (Latest Model, 4th Generation) (Renewed)",$389.00,3.4 out of 5 stars,2360 x 1640 Pixels,64 GB,10.9 Inches,iPad Air
N/A,"Amazon Fire HD 8 tablet (64 GB, Denim, Ad-Supported) + Amazon Standing Case (Denim)",$164.98,N/A,N/A,N/A,N/A,N/A
Apple,Apple iPad Air 4-64GB - WiFi - Space Gray (Renewed Premium),N/A,4.5 out of 5 stars,2360 x 1640 Pixels Per Inch,4 GB,10.9 Inches,iPad Air 4
iMieet,"iMieet iPad 9th Generation Case 2021/iPad 8th Generation Case 2020 10.2 Inch with Pencil Holder, iPad 7th Gen 2019 Case with Soft Baby Skin Silicone Back, Auto Wake/Sleep Cover(White)",$9.84,4.6 out of 5 stars,N/A,N/A,N/A,N/A
Apple,"Apple iPad Pro (32GB, Wi-Fi, Gold) 12.9in Tablet (Renewed)",$299.00,4.3 out of 5 stars,N/A,32 GB,12.9 Inches,iPad Pro
Apple,"Apple 9.7in iPad (6th Generation, 128GB, Wi-Fi + 4G LTE, Gold) (Renewed)",$164.99,4.5 out of 5 stars,2048 x 1536,128 GB,9.7 Inches,iPad 6th Gen
Lenovo,"Lenovo Tab M9-2023 - Tablet - Long Battery Life - 9"" HD - Front 2MP & Rear 8MP Camera - 3GB Memory - 32GB Storage - Android 12 or Later - Folio Case Included,Gray",N/A,4.4 out of 5 stars,1340 x 800,32 GB,9,Tab M9
Apple,"2019 Apple iPad 7th Gen (10.2 inch, Wi-Fi + Cellular, 128GB) Silver (Renewed)",$228.61,4.3 out of 5 stars,N/A,128 GB,10 Inches,Apple iPad
Apple,"Apple iPad Pro 9.7-inch (128GB, Wi-Fi, Space Gray) 2016 Model - (Renewed)",$149.69,4.5 out of 5 stars,N/A,128 GB,9.7 Inches,iPad Pro
SAMSUNG,"SAMSUNG Galaxy Tab S6 Lite 10.4"" 128GB Android Tablet, LCD Screen, S Pen Included, Slim Metal Design, AKG Dual Speakers, 8MP Rear Camera, Long Lasting Battery, US Version, 2022, Chiffon Rose",$339.99,4.6 out of 5 stars,2000 x 1200 Pixels,128 GB,10.4 Inches,Tab S6 Lite Refresh
Logitech,"Logitech Combo Touch for iPad (7th, 8th and 9th generation) keyboard case with trackpad, wireless keyboard, Smart Connector technology - Graphite",N/A,4.7 out of 5 stars,N/A,N/A,N/A,N/A
Apple,"Apple iPad Mini 4 (128GB, Wi-Fi + Cellular, Gold) (Renewed)",$136.00,4.0 out of 5 stars,2048 x 1536,128 GB,7.9 Inches,iPad Mini 4
OtterBox,OtterBox Defender Series Case for iPad mini (5th Gen ONLY) - Retail Packaging - BLACK,$17.15,4.7 out of 5 stars,N/A,N/A,N/A,N/A
iMieet,"iMieet iPad 9.7 Case (2018/2017 Model, 6th/5th Generation), Smart Cover with Pencil Holder and Soft Baby Skin Silicone Back and Full Body Protection, Auto Wake/Sleep Cover (Sky Blue)",N/A,4.5 out of 5 stars,N/A,N/A,N/A,N/A
N/A,"Amazon Fire HD 8 Plus tablet, 8” HD Display, 64 GB, 30% faster processor, 3GB RAM, wireless charging, (2022 release), Gray",$149.99,4.5 out of 5 stars,N/A,N/A,N/A,N/A
Apple,"Apple iPad Mini 4 (128GB, Wi-Fi + Cellular, Gold) (Renewed)",$136.00,4.0 out of 5 stars,2048 x 1536,128 GB,7.9 Inches,iPad Mini 4
Apple,Apple Smart Folio for iPad mini (6th generation) - White,$40.37,4.6 out of 5 stars,N/A,N/A,N/A,N/A
N/A,"Apple iPad Pro 13-Inch (M4): Ultra Retina XDR Display, 1TB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E + 5G Cellular with eSIM, Face ID, All-Day Battery — Silver with AppleCare+ (2 Years)","$2,263.99",4.6 out of 5 stars,N/A,N/A,N/A,N/A
Apple,"Apple iPad mini 4 (16GB, Wi-Fi, Silver) (Refurbished)",$119.00,4.1 out of 5 stars,2048 x 1536,16 GB,7.9 Inches,iPad Mini 4
N/A,"Fire HD 10 Tablet with Alexa Hands-Free, 10.1"" 1080p Full HD Display, 64 GB, Punch Red (Previous Generation - 7th)",$62.11,4.3 out of 5 stars,N/A,N/A,N/A,N/A
Apple,"Apple iPad Air 2 9.7-Inch, 32GB Tablet (Gold) (Renewed)",$115.00,4.4 out of 5 stars,2048 x 1536,32 GB,9.7 Inches,iPad Air 2
Apple,"Apple iPad Pro (32GB, Wi-Fi + Cellular, Gray) 9.7in Tablet (Renewed)",$127.80,4.2 out of 5 stars,2048 x 1536,32 GB,9.7 Inches,iPad Pro
Apple,"Apple iPad Mini 4, 16GB, Gold - WiFi (Renewed)",$115.00,4.1 out of 5 stars,2048 x 1536,16 GB,7.9 Inches,iPad Mini 4
